ID,airflow,n_spikes
01_1,0.1,30
01_2,0.1,33
01_3,0.1,36
01_4,0.1,29
01_5,0.1,25
02_1,0.2,36
02_2,0.2,37
02_3,0.2,44
02_4,0.2,29
02_5,0.2,41
03_1,0.3,69
03_2,0.3,65
03_3,0.3,76
03_4,0.3,62
03_5,0.3,72
04_1,0.4,89
04_2,0.4,95
04_3,0.4,81
04_4,0.4,111
04_5,0.4,87
05_1,0.5,134
05_2,0.5,133
05_3,0.5,114
05_4,0.5,102
05_5,0.5,112
06_1,0.6,118
06_2,0.6,125
06_3,0.6,129
06_4,0.6,128
06_5,0.6,131
07_1,0.7,162
07_2,0.7,140
07_3,0.7,140
07_4,0.7,128
07_5,0.7,93
08_1,0.8,203
08_2,0.8,136
08_3,0.8,144
08_4,0.8,83
08_5,0.8,71
09_1,0.9,201
09_2,0.9,183
09_3,0.9,145
09_4,0.9,138
09_5,0.9,93
10_1,1,232
10_2,1,145
10_3,1,228
10_4,1,201
10_5,1,194
