ID, sensilla,run,timing,n_spikes,trial_id
111,1,1,start,244,11
112,1,1,end,44,11
121,1,2,start,266,12
122,1,2,end,127,12
131,1,3,start,120,13
132,1,3,end,114,13
141,1,4,start,169,14
142,1,4,end,42,14
151,1,5,start,81,15
152,1,5,end,66,15
211,2,1,start,96,21
212,2,1,end,203,21
221,2,2,start,131,22
222,2,2,end,141,22
231,2,3,start,137,23
232,2,3,end,60,23
241,2,4,start,139,24
242,2,4,end,46,24
251,2,5,start,147,25
252,2,5,end,34,25
311,3,1,start,253,31
312,3,1,end,86,31
321,3,2,start,337,32
322,3,2,end,33,32
331,3,3,start,327,33
332,3,3,end,176,33
341,3,4,start,351,34
342,3,4,end,197,34
351,3,5,start,214,35
352,3,5,end,37,35
411,4,1,start,91,41
412,4,1,end,12,41
421,4,2,start,121,42
422,4,2,end,39,42
431,4,3,start,75,43
432,4,3,end,4,43
441,4,4,start,57,44
442,4,4,end,15,44
451,4,5,start,31,45
452,4,5,end,6,45
511,5,1,start,99,51
512,5,1,end,21,51
521,5,2,start,121,52
522,5,2,end,35,52
531,5,3,start,201,53
532,5,3,end,134,53
541,5,4,start,92,54
542,5,4,end,73,54
551,5,5,start,139,55
552,5,5,end,55,55
