run;distance_c;d_time_s;speed_m_s
1;2;0,007991;2,50281566762608
2;2;0,008004;2,49875062468766
3;2;0,00813;2,460024600246
4;2;0,008064;2,48015873015873
5;2;0,008374;2,38834487700024
6;2;0,008222;2,43249817562637
1;2,5;0,008207;3,04618009016693
2;2,5;0,007579;3,29858820424858
3;2,5;0,007906;3,16215532506957
4;2,5;0,007228;3,45877144438296
5;2,5;0,008222;3,04062271953296
6;2,5;0,008113;3,08147417724639
1;3;0,008974;3,34299086249164
2;3;0,008668;3,46100599907707
3;3;0,008003;3,74859427714607
4;3;0,00834;3,59712230215827
5;3;0,008863;3,38485840009026
6;3;0,008463;3,54484225451967
1;3,5;0,008809;3,97320921784539
2;3,5;0,009203;3,80310768227752
3;3,5;0,008857;3,95167663994581
4;3,5;0,00933;3,7513397642015
5;3,5;0,009344;3,74571917808219
6;3,5;0,009084;3,85292822545134
1;4;0,009521;4,20123936561286
2;4;0,009012;4,43852640923214
3;4;0,009519;4,20212207164618
4;4;0,009349;4,27853246336507
5;4;0,009487;4,21629598397808
6;4;0,009424;4,24448217317487
